season,scheme,state_name,district_name,area_insured,sum_insured,farmer_share,goi_share,state_share,iu_count,gross_premium
kharif,PMFBY,Madhya Pradesh,Gwalior,37.65,11378.99,227.58,467.96,467.96,246,1163.5
kharif,PMFBY,Madhya Pradesh,Harda,173,60320.74,1206.41,6879.3,6879.3,198,14965.01
kharif,PMFBY,Madhya Pradesh,,230.85,86772.12,1735.44,4074.13,4074.13,413,9883.7
kharif,PMFBY,Madhya Pradesh,Indore,176.99,70797.37,1415.95,4601.83,4601.83,331,10619.61
kharif,PMFBY,Madhya Pradesh,Jabalpur,59.36,18483.7,369.67,1438.88,1438.88,438,3247.43
kharif,PMFBY,Madhya Pradesh,Jhabua,41.74,13811.56,309.89,459.88,459.88,344,1229.65
kharif,PMFBY,Madhya Pradesh,Katni,45.07,15068.56,301.37,250.35,250.35,392,802.07
kharif,PMFBY,Madhya Pradesh,,145,59610.25,1438.76,3844.53,3844.53,414,9127.82
kharif,PMFBY,Madhya Pradesh,,131.86,58326.69,1647.42,436.11,436.11,362,2519.64
kharif,PMFBY,Madhya Pradesh,Mandla,27.89,7149.04,142.98,113.06,113.06,457,369.1
kharif,PMFBY,Madhya Pradesh,Mandsaur,221.82,119542.48,2390.85,6202.69,6202.69,449,14796.23
kharif,PMFBY,Madhya Pradesh,Morena,22.52,5583.52,111.67,183.54,183.54,458,478.75
kharif,PMFBY,Madhya Pradesh,,101.51,26065.93,521.32,1910.83,1910.83,455,4342.98
kharif,PMFBY,Madhya Pradesh,Neemuch,114.22,61599.21,1231.98,3077.48,3077.48,250,7386.94
kharif,PMFBY,Madhya Pradesh,Panna,38.4,8324.69,166.69,421.07,421.07,223,1008.83
kharif,PMFBY,Madhya Pradesh,Raisen,325.93,95797.61,1915.95,4941.39,4941.39,496,11798.73
kharif,PMFBY,Madhya Pradesh,Rajgarh,410.91,143706.47,2874.13,12927.11,12927.11,637,28728.35
kharif,PMFBY,Madhya Pradesh,Ratlam,156.78,81429.51,1631.18,5278.67,5278.67,432,12188.52
kharif,PMFBY,Madhya Pradesh,Rewa,50.02,12898.85,257.98,698.42,698.42,455,1654.82
kharif,PMFBY,Madhya Pradesh,Sagar,318.01,93816.64,1876.33,8242.01,8242.01,761,18360.35
kharif,PMFBY,Madhya Pradesh,Satna,62.72,20427.83,408.56,1331.88,1331.88,572,3072.32
kharif,PMFBY,Madhya Pradesh,Sehore,405.79,154892.28,3097.85,14341.4,14341.4,504,31780.65
kharif,PMFBY,Madhya Pradesh,Seoni,153.96,41144.94,822.9,2078.33,2078.33,627,4979.56
kharif,PMFBY,Madhya Pradesh,Shahdol,27.02,5785.23,115.7,302.85,302.85,388,721.4
kharif,PMFBY,Madhya Pradesh,Shajapur,259.79,124629.1,2492.58,9587.21,9587.21,256,21667
kharif,PMFBY,Madhya Pradesh,Sheopur,37.02,14230.74,284.61,552.13,552.13,217,1388.87
kharif,PMFBY,Madhya Pradesh,Shivpuri,115,35152.23,703.04,1607.7,1607.7,348,3918.44
kharif,PMFBY,Madhya Pradesh,Sidhi,6.6,2491.84,49.84,60.74,60.74,322,171.32
kharif,PMFBY,Madhya Pradesh,Singrauli,2.47,746.56,14.93,39,39,199,92.93
kharif,PMFBY,Madhya Pradesh,Tikamgarh,37.54,9553.93,191.08,221.15,221.15,86,633.38
kharif,PMFBY,Madhya Pradesh,Ujjain,438.67,206116.41,4122.33,17514.09,17514.09,628,39150.51
kharif,PMFBY,Madhya Pradesh,Umaria,18.5,4004.94,80.1,243.79,243.79,145,567.68
kharif,PMFBY,Madhya Pradesh,Vidisha,506.47,159810.4,3196.21,13984.64,13984.64,584,31165.49
kharif,WBCIS,Madhya Pradesh,Agar Malwa,2.13,1744.33,87.22,69.3,69.3,9,225.82
kharif,WBCIS,Madhya Pradesh,Alirajpur,0.3,202.4,10.12,1.01,1.01,6,12.14
kharif,WBCIS,Madhya Pradesh,Anuppur,0.01,4.91,0.2457,0.7272,0.7272,8,1.7
kharif,WBCIS,Madhya Pradesh,Ashoknagar,0,1.3,0.0648,0.0678,0.0678,3,0.2
kharif,WBCIS,Madhya Pradesh,Barwani,4.09,3066.66,153.33,66.25,66.25,9,285.83
kharif,WBCIS,Madhya Pradesh,Betul,0.24,168.27,8.41,2.13,2.13,19,12.67
kharif,WBCIS,Madhya Pradesh,Bhind,0,0.9127,0.0456,0.0144,0.0144,12,0.07
kharif,WBCIS,Madhya Pradesh,Bhopal,0.01,5.02,0.2508,0.4898,0.4898,3,1.23
kharif,WBCIS,Madhya Pradesh,Burhanpur,22.08,33083.46,1654.17,1306.03,1306.03,6,4266.23
kharif,WBCIS,Madhya Pradesh,Chhatarpur,0,0.8999,0.045,0.0582,0.0582,4,0.16
kharif,WBCIS,Madhya Pradesh,Chhindwara,2.33,1823.88,91.19,51.88,51.88,22,194.95
kharif,WBCIS,Madhya Pradesh,Datia,0.01,3.54,0.177,0.0885,0.0885,4,0.35
kharif,WBCIS,Madhya Pradesh,Dewas,0.05,34.66,1.73,1.68,1.68,10,5.09
kharif,WBCIS,Madhya Pradesh,Dhar,14.73,10345.11,517.26,282.1,282.1,18,1081.46
kharif,WBCIS,Madhya Pradesh,Guna,0.01,3.51,0.1754,0.1606,0.1606,3,0.5
kharif,WBCIS,Madhya Pradesh,Gwalior,0.02,14.33,0.7164,0.153,0.153,13,1.02
kharif,WBCIS,Madhya Pradesh,Harda,0,1.42,0.0711,0.0078,0.0078,2,0.09
kharif,WBCIS,Madhya Pradesh,,0.02,13.58,0.679,0.2227,0.2227,12,1.12
kharif,WBCIS,Madhya Pradesh,Indore,0.12,78.86,3.94,11.91,11.91,8,27.76
